criterion,threshold,pass_count,accepted_relative_moe_mean,accepted_relative_moe_median,accepted_relative_moe_q1,accepted_relative_moe_q3,accepted_relative_moe_p90,year,newly_rejected
income,1.0,218574,0.18030149200320875,0.15825007339988256,0.11426825628770296,0.21993993558184266,0.29831414250598964,2016,0
income,0.5,215578,0.17412930844775756,0.15693339581812527,0.11369056676770176,0.2164775570020091,0.28824851974730364,2016,2996
poverty,1.0,208988,0.49506585770077827,0.46735395189003437,0.3621908127208481,0.6043956043956044,0.7476764125868137,2016,0
poverty,0.5,118854,0.37066927748775846,0.3764090410603639,0.3138762186683547,0.4351005484460695,0.47244094488188976,2016,90134
