population_quintile,eligible_100,losses,loss_rate,year
1,3409,362,0.1061894983866236,2016
2,3409,133,0.0390143737166324,2016
3,3411,95,0.0278510700674289,2016
4,3405,49,0.0143906020558002,2016
5,3408,35,0.0102699530516431,2016
