criterion,threshold,pass_count,accepted_relative_moe_mean,accepted_relative_moe_median,accepted_relative_moe_q1,accepted_relative_moe_q3,accepted_relative_moe_p90,year,newly_rejected
income,1.0,218574,0.1803014920032087,0.1582500733998825,0.1142682562877029,0.2199399355818426,0.2983141425059896,2016,0
income,0.5,215578,0.1741293084477575,0.1569333958181252,0.1136905667677017,0.2164775570020091,0.2882485197473036,2016,2996
poverty,1.0,208988,0.4950658577007782,0.4673539518900343,0.3621908127208481,0.6043956043956044,0.7476764125868137,2016,0
poverty,0.5,118854,0.3706692774877584,0.3764090410603639,0.3138762186683547,0.4351005484460695,0.4724409448818897,2016,90134
