population_quintile,eligible_100,losses,loss_rate,year
1,3409,362,0.10618949838662364,2016
2,3409,133,0.039014373716632446,2016
3,3411,95,0.027851070067428905,2016
4,3405,49,0.014390602055800294,2016
5,3408,35,0.010269953051643193,2016
